== step 5: median MAD 25.12, median max-block 135.5; flagged MAD>3x: 0; flagged block>3x: 0
 -80-> -75 MAD  15.78 ( 0.6x) maxblk  170.8 ( 1.3x) at (544, 192)   v4-l85 -> v4-l85 ('open', 'neutral', 'neutral')
 -75-> -70 MAD  27.03 ( 1.1x) maxblk  176.4 ( 1.3x) at (576, 192)   v4-l85 -> v4-l85>v4-l60@0.10 ('open', 'neutral', 'neutral')
 -70-> -65 MAD  40.14 ( 1.6x) maxblk  176.7 ( 1.3x) at (608, 192)   v4-l85>v4-l60@0.10 -> v4-l60 ('open', 'neutral', 'neutral')
 -65-> -60 MAD  22.12 ( 0.9x) maxblk  181.7 ( 1.3x) at (640, 192)   v4-l60 -> v4-l60 ('open', 'neutral', 'neutral')
 -60-> -55 MAD  19.13 ( 0.8x) maxblk  101.8 ( 0.8x) at (672, 160)   v4-l60 -> v4-l60 ('open', 'neutral', 'neutral')
 -55-> -50 MAD  19.08 ( 0.8x) maxblk  124.8 ( 0.9x) at (736, 224)   v4-l60 -> v4-l60 ('open', 'neutral', 'neutral')
 -50-> -45 MAD  30.71 ( 1.2x) maxblk  130.5 ( 1.0x) at (608, 864)   v4-l60 -> v4-l60>v4-l40@0.78 ('open', 'neutral', 'neutral')
 -45-> -40 MAD  23.58 ( 0.9x) maxblk  106.2 ( 0.8x) at (448, 32)   v4-l60>v4-l40@0.78 -> v4-l40 ('open', 'neutral', 'neutral')
 -40-> -35 MAD  30.77 ( 1.2x) maxblk  138.0 ( 1.0x) at (480, 384)   v4-l40 -> v4-l40 ('open', 'neutral', 'neutral')
 -35-> -30 MAD  29.80 ( 1.2x) maxblk  154.8 ( 1.1x) at (512, 384)   v4-l40 -> v4-l40 ('open', 'neutral', 'neutral')
 -30-> -25 MAD  34.78 ( 1.4x) maxblk  138.8 ( 1.0x) at (448, 384)   v4-l40 -> v4-l40>v4-l20@0.78 ('open', 'neutral', 'neutral')
 -25-> -20 MAD  32.29 ( 1.3x) maxblk  154.6 ( 1.1x) at (512, 672)   v4-l40>v4-l20@0.78 -> v4-l20 ('open', 'neutral', 'neutral')
 -20-> -15 MAD  22.65 ( 0.9x) maxblk  129.3 ( 1.0x) at (576, 384)   v4-l20 -> v4-l20 ('open', 'neutral', 'neutral')
 -15-> -10 MAD  22.58 ( 0.9x) maxblk  130.7 ( 1.0x) at (512, 384)   v4-l20 -> v4-l20 ('open', 'neutral', 'neutral')
 -10->  -5 MAD  30.41 ( 1.2x) maxblk  171.2 ( 1.3x) at (192, 0)   v4-l20 -> v4-l20>frontal@0.79 ('open', 'neutral', 'neutral')
  -5->   0 MAD  24.70 ( 1.0x) maxblk  117.6 ( 0.9x) at (544, 384)   v4-l20>frontal@0.79 -> frontal ('open', 'neutral', 'neutral')
   0->   5 MAD  24.97 ( 1.0x) maxblk  154.1 ( 1.1x) at (288, 416)   frontal -> frontal ('open', 'neutral', 'neutral')
   5->  10 MAD  24.23 ( 1.0x) maxblk  133.3 ( 1.0x) at (320, 416)   frontal -> frontal ('open', 'neutral', 'neutral')
  10->  15 MAD  29.69 ( 1.2x) maxblk  153.3 ( 1.1x) at (320, 416)   frontal -> frontal>v4-r20@0.78 ('open', 'neutral', 'neutral')
  15->  20 MAD  28.22 ( 1.1x) maxblk  123.5 ( 0.9x) at (320, 416)   frontal>v4-r20@0.78 -> v4-r20 ('open', 'neutral', 'neutral')
  20->  25 MAD  25.26 ( 1.0x) maxblk  142.9 ( 1.1x) at (352, 416)   v4-r20 -> v4-r20 ('open', 'neutral', 'neutral')
  25->  30 MAD  24.35 ( 1.0x) maxblk  128.5 ( 0.9x) at (352, 416)   v4-r20 -> v4-r20 ('open', 'neutral', 'neutral')
  30->  35 MAD  30.73 ( 1.2x) maxblk  150.1 ( 1.1x) at (384, 416)   v4-r20 -> v4-r20>v4-r40@0.78 ('open', 'neutral', 'neutral')
  35->  40 MAD  25.99 ( 1.0x) maxblk  123.7 ( 0.9x) at (416, 416)   v4-r20>v4-r40@0.78 -> v4-r40 ('open', 'neutral', 'neutral')
  40->  45 MAD  20.44 ( 0.8x) maxblk  137.7 ( 1.0x) at (416, 416)   v4-r40 -> v4-r40 ('open', 'neutral', 'neutral')
  45->  50 MAD  19.78 ( 0.8x) maxblk  119.8 ( 0.9x) at (416, 416)   v4-r40 -> v4-r40 ('open', 'neutral', 'neutral')
  50->  55 MAD  39.71 ( 1.6x) maxblk  128.3 ( 0.9x) at (448, 224)   v4-r40 -> v4-r40>v4-r60@0.78 ('open', 'neutral', 'neutral')
  55->  60 MAD  25.38 ( 1.0x) maxblk  113.1 ( 0.8x) at (544, 384)   v4-r40>v4-r60@0.78 -> v4-r60 ('open', 'neutral', 'neutral')
  60->  65 MAD  22.37 ( 0.9x) maxblk  138.1 ( 1.0x) at (704, 32)   v4-r60 -> v4-r60 ('open', 'neutral', 'neutral')
  65->  70 MAD  21.61 ( 0.9x) maxblk  129.1 ( 1.0x) at (384, 704)   v4-r60 -> v4-r60 ('open', 'neutral', 'neutral')
  70->  75 MAD  22.59 ( 0.9x) maxblk  126.4 ( 0.9x) at (672, 32)   v4-r60 -> v4-r60>v4-r85@0.10 ('open', 'neutral', 'neutral')
  75->  80 MAD  45.31 ( 1.8x) maxblk  208.5 ( 1.5x) at (704, 96)   v4-r60>v4-r85@0.10 -> v4-r85 ('open', 'neutral', 'neutral')
== step 1: median MAD 9.79, median max-block 62.9; flagged MAD>3x: 0; flagged block>3x: 0
